Smiles,Molecular Weight,AlogP,#RO5 Violations,pIC50
CN(C)C/C=C/S(=O)(=O)NC(=O)Nc1c2c(cc3c1CCC3)CCC2,363.48,2.19,0.0,8.494850021680094
Nc1ccc(S(=O)(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)Nc2c3c(cc4c2CCC4)CCC3)cc1,491.61,3.48,0.0,8.482804102050025
CCN1CCC[C@@H](N2CCOc3cc(-c4c(C)cc(C#N)cc4O)nnc32)C1.O=CO,425.49,2.71,0.0,8.468521082957745
CN(C)C/C=C/S(=O)(=O)NC(=O)Nc1c2c(cc3c1CCC3)C=CC2,361.47,2.27,0.0,8.443697499232712
Cc1nc(N[C@@H]2CCCN(CCCC(=O)O)C2)nnc1-c1ccc2c(c1O)CCO2,413.48,2.23,0.0,8.3767507096021
Cc1cc(N[C@@H]2CCCN(C)C2)nnc1-c1ccc2ccccc2c1O,348.45,3.82,0.0,8.362510270487489
C[C@H](O)Cn1cc(F)c([S+](N)([O-])=NC(=O)Nc2c3c(nc4c2CCC42CC2)CCC3)n1,448.52,2.2,0.0,8.327902142064282
CCN1CCC[C@@H](N2CCCc3cc(-c4c(C)cc(C#N)cc4O)nnc32)C1,377.49,3.27,0.0,8.318758762624412
Cc1nc(N[C@H]2CCCN(CCCC(=O)N3CCCC3)C2)nnc1-c1ccc2c(c1O)CCO2,466.59,2.77,0.0,8.301029995663981
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,404.49,2.99,0.0,8.301029995663981
[2H]C([2H])([2H])C(O)(c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1)C([2H])([2H])[2H],410.52,2.99,0.0,8.301029995663981
Cc1ccc(S(=O)(=NC#N)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)cc1F,412.49,4.16,0.0,8.275724130399212
Cc1cc(N[C@@H]2CCCN(C)C2)nnc1-c1ccc(-c2ccc(F)cc2)cc1O,392.48,4.47,0.0,8.274088367704952
Nc1ccc(S(=O)(=O)N2Cc3ccccc3C[C@H]2C(=O)Nc2c3c(cc4c2CCC4)CCC3)cc1,487.63,4.0,0.0,8.27083521030723
CN[C@@H]1COc2c(S(=O)(=O)NC(=O)Nc3c4c(cc5c3CCC5)CCC4)cnn2C1,431.52,1.35,0.0,8.267606240177031
CCc1cc(N[C@@H]2CCCN(CC)C2)nnc1-c1ccc(C#N)cc1O,351.45,3.18,0.0,8.2518119729938
CCN1CCC[C@@H](Nc2nnc(-c3ccc(Cl)cc3O)n(C)c2=O)C1,363.85,2.1,0.0,8.229147988357855
[2H]C1([2H])CCc2c1cc1c(c2NC(=O)NS(=O)(=O)c2cc(C(C)(C)O)co2)CCC1,406.5,2.99,0.0,8.221848749616356
[2H]C1([2H])CCc2cc3c(c(NC(=O)NS(=O)(=O)c4cc(C(C)(C)O)co4)c21)C([2H])([2H])CC3,408.51,2.99,0.0,8.221848749616356
CC(C)(O)c1nn(CC(=O)N[C@H]2C[C@@](C)(O)C2)c(=O)c2cc3sc(Cl)cc3n12,424.91,1.62,0.0,8.221848749616356
N[S+]([O-])(=NC(=O)Nc1c2c(cc3c1CCC3)CCC2)c1cnn2cc(CO)oc12,415.48,2.33,0.0,8.214670164989233
Cc1ccc(S(=O)(=NC#N)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)cc1,394.5,4.02,0.0,8.167491087293763
[2H]C1([2H])CCc2c1cc1c(c2NC(=O)NS(=O)(=O)c2cc(C(C)(C)O)co2)CCC1([2H])[2H],408.51,2.99,0.0,8.154901959985743
CN1C[C@]2(C)CCCN2[C@H](CS(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)C1(C)C,474.67,3.06,0.0,8.142667503568731
CC(C)[C@H](NS(=O)(=O)c1ccc([N+](=O)[O-])cc1)C(=O)Nc1c2c(cc3c1CCC3)CCC2,457.55,3.51,0.0,8.126679398184601
CC(C)c1cc(-c2ccc3c(c2)OC(F)(F)O3)cc(C(C)C)c1CC(=O)NS(=O)(=O)c1sc(C(C)(C)O)nc1CO,610.7,5.15,2.0,8.096910013008056
CCOC(=O)C(Cc1ncccn1)OC(=O)Nc1c2c(cc3c1CCC3)CCC2,395.46,3.18,0.0,8.096910013008056
CC(C)(O)c1ccoc1S(=O)(=O)NC(=O)Nc1c2c(cc3c1CCC3)CCC2,404.49,2.99,0.0,8.09151498112135
Cc1c(N[C@@H]2CCCC[C@H]2O)nnc(-c2ccc(C(F)(F)F)cc2O)c1C,381.4,4.2,0.0,8.075720713938118
Cc1ccc(C(F)(F)F)cc1Nc1nc(C(=O)NS(=O)(=O)N2CCCC(S(=O)(=O)N(C)C)CC2)co1,553.59,2.47,1.0,8.065501548756432
CN1CCC[C@]1(C)/C=C/S(=O)(=O)NC(=O)Nc1c2c(cc3c1CCC3)CCC2,403.55,3.11,0.0,8.05551732784983
Cc1c(-c2ccc(C(F)(F)F)cc2O)nnc(NC[C@@H](C)O)c1C#N,352.32,2.84,0.0,8.022276394711152
Cc1cc2c(c(O)c1-c1cc3c(nn1)N([C@@H]1CCCC[C@H]1O)CCO3)CCC2.O=C(O)C(F)(F)F,495.5,3.15,0.0,8.0
Cc1cc2c(c(O)c1-c1cc3c(nn1)N([C@@H]1CCCC[C@H]1O)CCO3)CCO2,383.45,2.59,0.0,7.958607314841775
Cc1ccc(-c2nnc(N[C@@H]3CCCN(C)C3)c3cscc23)c(O)c1,354.48,3.88,0.0,7.958607314841775
N#CN=S(=O)(NC(=O)Nc1c2c(cc3c1CCC3)CCC2)c1cccc(C#N)c1,405.48,3.58,0.0,7.931814138253839
