Molecular Weight,AlogP,#RO5 Violations,Action_Encoded,pIC50
408.51,2.99,0.0,0,8.154901959985743
474.67,3.06,0.0,1,8.142667503568731
457.55,3.51,0.0,1,8.126679398184601
395.46,3.18,0.0,1,8.096910013008056
610.7,5.15,2.0,1,8.096910013008056
404.49,2.99,0.0,1,8.09151498112135
381.4,4.2,0.0,1,8.075720713938118
553.59,2.47,1.0,1,8.065501548756432
403.55,3.11,0.0,1,8.05551732784983
352.32,2.84,0.0,1,8.022276394711152
495.5,3.15,0.0,1,8.0
354.48,3.88,0.0,1,7.958607314841775
383.45,2.59,0.0,1,7.958607314841775
405.48,3.58,0.0,0,7.931814138253839
439.22,1.05,0.0,1,7.920818753952375
387.51,2.9,0.0,1,7.920818753952375
487.58,1.46,0.0,1,7.920818753952375
481.47,2.76,0.0,1,7.920818753952375
414.54,4.49,0.0,1,7.886056647693163
385.47,1.74,0.0,1,7.886056647693163
445.55,1.69,0.0,1,7.886056647693163
428.47,4.91,0.0,1,7.853871964321762
415.47,5.18,1.0,1,7.853871964321762
395.46,3.18,0.0,1,7.853871964321762
370.47,3.48,0.0,0,7.823908740944319
349.44,3.21,0.0,1,7.823908740944319
422.49,2.59,0.0,1,7.795880017344075
371.44,1.38,0.0,1,7.795880017344075
385.47,1.75,0.0,1,7.795880017344075
375.45,0.81,0.0,1,7.769551078621726
385.47,4.9,0.0,1,7.769551078621726
374.47,1.86,0.0,1,7.735182176990463
428.54,1.0,0.0,1,7.6777807052660805
448.42,2.44,0.0,1,7.6777807052660805
380.47,3.71,0.0,0,7.6777807052660805
417.48,5.35,1.0,1,7.657577319177793
381.46,3.1,0.0,0,7.638272163982407
383.45,3.04,0.0,1,7.638272163982407
412.48,2.09,0.0,1,7.638272163982407
409.48,2.54,0.0,1,7.638272163982407
401.43,2.45,0.0,1,7.619788758288394
431.38,2.84,0.0,1,7.619788758288394
389.5,3.24,0.0,1,7.619788758288394
395.43,1.13,0.0,1,7.619788758288394
420.41,3.06,0.0,1,7.619788758288394
408.3,2.31,0.0,1,7.6020599913279625
403.46,5.04,1.0,1,7.6020599913279625
421.45,5.18,1.0,1,7.552841968657781
426.47,2.99,0.0,1,7.552841968657781
495.5,3.15,0.0,1,7.5376020021010435
394.48,2.75,0.0,1,7.522878745280337
421.45,5.18,1.0,1,7.481486060122112
394.48,2.75,0.0,1,7.481486060122112
405.48,3.58,0.0,0,7.468521082957745
356.45,3.17,0.0,0,7.455931955649724
525.53,1.69,1.0,1,7.443697499232712
381.46,3.1,0.0,0,7.440093374963888
453.61,3.6,0.0,1,7.437707135543525
408.91,2.78,0.0,1,7.42712839779952
405.48,2.39,0.0,0,7.421360790031928
434.4,2.05,0.0,1,7.42021640338319
388.49,2.95,0.0,1,7.403402904373539
443.57,2.77,0.0,1,7.3979400086720375
454.55,3.56,0.0,1,7.3979400086720375
542.75,6.86,2.0,1,7.3979400086720375
472.47,4.07,0.0,1,7.394694953858891
432.42,3.21,0.0,1,7.376750709602099
470.33,3.1,0.0,1,7.376750709602099
444.54,3.93,0.0,1,7.367542707815276
368.42,2.62,0.0,1,7.366531544420414
422.31,4.78,0.0,1,7.347077112432058
402.25,2.71,0.0,1,7.337242168318426
390.46,1.93,0.0,1,7.318758762624412
457.58,3.25,0.0,1,7.309803919971486
390.47,1.93,0.0,1,7.301029995663981
411.49,2.78,0.0,1,7.301029995663981
453.46,5.92,1.0,1,7.2839966563652006
392.36,2.28,0.0,1,7.275724130399211
453.66,2.68,0.0,1,7.259637310505756
266.3,3.05,0.0,1,7.236572006437063
441.51,2.78,0.0,1,7.221848749616356
444.54,3.43,0.0,1,7.214670164989233
402.48,2.15,0.0,1,7.200659450546418
367.41,2.7,0.0,1,7.180456064458132
489.48,2.27,0.0,1,7.180456064458132
380.47,2.56,0.0,1,7.180456064458132
388.5,1.44,0.0,1,7.167491087293763
367.43,2.87,0.0,1,7.161150909262744
388.51,3.85,0.0,1,7.154901959985743
413.57,2.88,0.0,1,7.154901959985743
403.53,3.55,0.0,1,7.119186407719209
495.65,3.18,0.0,1,7.102372908709558
405.23,2.5,0.0,1,7.0915149811213505
410.48,4.77,0.0,1,7.0915149811213505
421.95,2.7,0.0,1,7.075720713938118
429.5,5.57,1.0,1,7.075720713938118
388.49,2.95,0.0,1,7.0655015487564325
383.43,1.97,0.0,1,7.0655015487564325
437.95,1.8,0.0,1,7.045757490560675
463.65,4.5,0.0,1,7.031517051446065
346.31,4.32,0.0,1,7.026872146400302
388.51,3.85,0.0,1,7.017728766960431
472.54,3.38,0.0,1,7.0
451.59,3.23,0.0,1,7.0
506.63,3.51,1.0,1,7.0
490.53,3.52,0.0,1,7.0
472.54,3.38,0.0,1,7.0
443.46,2.48,0.0,1,7.0
481.69,4.26,0.0,1,7.0
490.53,3.52,0.0,1,7.0
354.4,1.7,0.0,1,6.982966660701219
407.93,2.36,0.0,1,6.97061622231479
483.55,2.55,0.0,1,6.966576244513051
381.46,3.1,0.0,0,6.958607314841775
451.47,5.35,1.0,1,6.94692155651658
365.42,2.62,0.0,1,6.939302159646388
409.49,3.57,0.0,1,6.920818753952375
420.24,2.85,0.0,1,6.91721462968355
389.5,3.24,0.0,1,6.899629454882437
439.44,5.29,1.0,1,6.886056647693163
421.57,4.62,0.0,1,6.886056647693163
438.23,1.65,0.0,1,6.886056647693163
366.44,2.39,0.0,1,6.853871964321762
447.58,3.47,0.0,1,6.847711655616943
401.88,3.52,0.0,1,6.844663962534939
432.89,3.36,0.0,1,6.835647144215563
386.5,1.77,0.0,1,6.827105302247824
364.43,1.75,0.0,1,6.823908740944319
462.87,4.26,0.0,1,6.795880017344075
383.47,3.18,0.0,1,6.785156151952302
269.34,3.7,0.0,1,6.752517739322946
409.34,3.11,0.0,1,6.7447274948966935
331.37,2.68,0.0,1,6.721246399047171
403.46,5.04,1.0,1,6.703334809738469
511.64,3.21,1.0,1,6.698970004336019
430.53,3.61,0.0,1,6.681936665037238
360.44,1.91,0.0,1,6.6777807052660805
438.98,5.15,1.0,0,6.6777807052660805
385.42,3.01,0.0,1,6.6439741428068775
420.49,2.49,0.0,0,6.634512015109101
257.29,2.58,0.0,1,6.621238824683627
398.47,3.12,0.0,1,6.619788758288394
479.65,3.51,0.0,1,6.614393726401688
509.59,3.08,1.0,1,6.614393726401688
503.53,3.92,1.0,1,6.607303046740334
388.45,2.15,0.0,1,6.6020599913279625
353.41,2.31,0.0,1,6.6020599913279625
520.66,4.36,1.0,1,6.6020599913279625
447.52,3.03,0.0,1,6.6020599913279625
568.7,4.35,1.0,1,6.6020599913279625
470.6,3.32,0.0,1,6.6020599913279625
519.67,5.16,2.0,1,6.6020599913279625
453.0,5.32,1.0,0,6.585026652029182
392.48,2.57,0.0,1,6.585026652029182
491.41,3.53,0.0,1,6.585026652029182
428.47,4.91,0.0,1,6.570247719997592
339.83,4.54,0.0,1,6.568636235841013
343.38,2.82,0.0,1,6.568636235841013
531.34,5.65,2.0,1,6.552841968657781
347.3,3.71,0.0,1,6.55129368009492
385.37,2.74,0.0,1,6.539102157243452
437.9,5.69,1.0,1,6.5376020021010435
403.53,3.55,0.0,1,6.531652669587842
402.48,2.03,0.0,1,6.522878745280337
491.43,5.35,1.0,1,6.522878745280337
419.53,2.74,0.0,1,6.51427857351842
378.45,2.53,0.0,1,6.508638306165727
529.33,5.65,2.0,1,6.494850021680094
417.92,4.58,0.0,1,6.494850021680094
475.36,4.94,0.0,1,6.481486060122113
352.42,2.91,0.0,1,6.481486060122113
360.44,1.91,0.0,1,6.468521082957745
417.48,5.43,1.0,1,6.465973893943865
460.58,2.94,0.0,1,6.46344155742847
494.89,5.0,0.0,1,6.443697499232712
340.81,3.94,0.0,1,6.443697499232712
389.5,3.24,0.0,1,6.432973633840939
419.89,3.42,0.0,1,6.431798275933005
403.9,4.19,0.0,1,6.431798275933005
