Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL3183703,,,404.49,0.0,2.99,MCC950,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,F,'=',68.0,%,,,,UO_0000187,,,,,0,CHEMBL4324148,Oral bioavailability in C57BL/6 mouse at 20 mg/kg,A,BAO_0000218,organism-based format,Mus musculus,,,,,,,,CHEMBL612558,ADMET,,ADMET,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,68.0
CHEMBL4538032,,,378.88,0.0,2.45,INF58,C=C(Cc1ccccc1Cl)C(=O)NCCc1ccc(S(N)(=O)=O)cc1,IC50,'=',74000.0,nM,4.13,,,UO_0000065,10.9,0.23,1.68,4.63,0,CHEMBL4324153,Inhibition of recombinant human NLRP3 ATPase assessed as reduction in ADP formation preincubated for 10 mins followed by ATP addition and measured after 40 mins by ADP-Glo assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,74.0
CHEMBL4538032,,,378.88,0.0,2.45,INF58,C=C(Cc1ccccc1Cl)C(=O)NCCc1ccc(S(N)(=O)=O)cc1,IC50,'=',23200.0,nM,4.63,,,UO_0000065,,,,,0,CHEMBL4324154,Inhibition of pyroptosis in PMA-differentiated and LPS-primed human THP1 cells assessed as LDH activity preincubated for 1 hr followed by addition of ATP and measured after 1 hr by CytoTox 96 Non-Radioactive Cytotoxicity Assay,F,BAO_0000219,cell-based format,Homo sapiens,,,THP-1,,,,,CHEMBL614245,THP-1,Homo sapiens,CELL-LINE,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,CHEMBL3307574,,,,23.2
CHEMBL3183703,,,404.49,0.0,2.99,MCC950,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,T1/2,'=',3.27,hr,,,,UO_0000032,,,,,0,CHEMBL4324149,"Half life in C57BL/6 mouse plasma at 3 mg/kg, iv or 20 mg/kg, po",A,BAO_0000218,organism-based format,Mus musculus,CHEMBL3559721,Plasma,,,,,,CHEMBL612558,ADMET,,ADMET,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,3.27
CHEMBL4468698,,,550.68,1.0,4.0,2,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)Nc3c4c(cc5c3CCC5)CCC4)cc2)C1=O,IC50,'=',42.0,nM,7.38,,,UO_0000065,13.4,0.26,3.38,5.92,0,CHEMBL4324150,Inhibition of NLRP3 inflammasome activation in LPS-primed mouse bone marrow derived macrophages assessed as reduction in IL-1beta level preincubated for 30 mins followed by addition of ATP and measured after 1 hr by ELISA method,B,BAO_0000357,single protein format,Mus musculus,,,,,,,,CHEMBL3779755,"NACHT, LRR and PYD domains-containing protein 3",Mus musculus,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,42.0
CHEMBL4539790,,,409.51,,,NBC6,CC(=O)C1=C(C(Cl)(Cl)Cl)N[B-](c2ccccc2)(c2ccccc2)[O+]=C1N,IC50,'=',74.0,nM,7.13,,,UO_0000065,17.41,,,,0,CHEMBL4324155,Inhibition of NLRP3 inflammasome activation in LPS-primed human THP1 cells assessed as reduction in IL-1beta level preincubated for 10 mins followed by addition of nigericin,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,74.0
CHEMBL370771,,,246.25,0.0,2.59,TBZ-09,O=[N+]([O-])c1ccc2[nH]c(-c3cscn3)nc2c1,Inhibition,'=',30.0,%,,,,UO_0000187,,,,,0,CHEMBL4324159,Inhibition of NLRP3 inflammasome activation in LPS-stimulated human THP1 cells assessed as reduction in IL-1beta level at 10 uM preincubated for 1 hr followed by addition of ATP and measured after 1 hr by ELISA method relative to control,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,30.0
CHEMBL336718,,,252.27,0.0,3.01,9,COc1ccc(-c2nc(O)c3ccccc3n2)cc1,Inhibition,'=',28.8,%,,,,UO_0000187,,,,,0,CHEMBL4324161,Inhibition of NLRP3 inflammasome activation in LPS-primed mouse J774A.1 cells assessed as reduction in IL-1beta level at 10 uM preincubated for 1 hr followed by addition of ATP and measured after 30 mins by ELISA method relative to control,B,BAO_0000019,assay format,Mus musculus,,,,,,,,CHEMBL3779755,"NACHT, LRR and PYD domains-containing protein 3",Mus musculus,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,28.8
CHEMBL3183703,,,404.49,0.0,2.99,MCC950,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,IC50,'=',7.5,nM,8.12,,,UO_0000065,20.09,0.4,5.13,7.48,1,CHEMBL4324146,Inhibition of NLRP3 in LPS/ATP-treated mouse bone marrow derived macrophages assessed as reduction in NLRP3 inflammasome activation by measuring reduction in IL-1beta level by ELISA method,B,BAO_0000357,single protein format,Mus musculus,,,,,,,,CHEMBL3779755,"NACHT, LRR and PYD domains-containing protein 3",Mus musculus,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,7.5
CHEMBL4538032,,,378.88,0.0,2.45,INF58,C=C(Cc1ccccc1Cl)C(=O)NCCc1ccc(S(N)(=O)=O)cc1,Inhibition,'=',45.8,%,,,,UO_0000187,,,,,0,CHEMBL4324152,Inhibition of pyroptosis in PMA-differentiated and LPSprimed human THP1 cells assessed as LDH activity at 10 uM preincubated for 1 hr followed by addition of ATP and measured after 1 hr by CytoTox 96 Non-Radioactive Cytotoxicity Assay relative to control,F,BAO_0000219,cell-based format,Homo sapiens,,,THP-1,,,,,CHEMBL614245,THP-1,Homo sapiens,CELL-LINE,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,CHEMBL3307574,,,,45.8
